fname,location,year,camera,path
48.jpg,new haven,2021,iPhone 11,/Users/lylaatta/Documents/GitHub/LylaAtta.github.io/assets/img/photos/all/48.jpg
49.jpg,new haven,2021,iPhone 11,/Users/lylaatta/Documents/GitHub/LylaAtta.github.io/assets/img/photos/all/49.jpg
50.jpg,new haven,2021,iPhone 11,/Users/lylaatta/Documents/GitHub/LylaAtta.github.io/assets/img/photos/all/50.jpg
51.jpg,baltimore,2020,iPhone 11,/Users/lylaatta/Documents/GitHub/LylaAtta.github.io/assets/img/photos/all/51.jpg
52.jpg,new haven,2021,iPhone 11,/Users/lylaatta/Documents/GitHub/LylaAtta.github.io/assets/img/photos/all/52.jpg
53.heic,baltimore,2020,iPhone 11,/Users/lylaatta/Documents/GitHub/LylaAtta.github.io/assets/img/photos/all/53.heic
54.heic,baltimore,2019,iPhone 11,/Users/lylaatta/Documents/GitHub/LylaAtta.github.io/assets/img/photos/all/54.heic
55.JPG,baltimore,2022,iPhone 11,/Users/lylaatta/Documents/GitHub/LylaAtta.github.io/assets/img/photos/all/55.JPG
56.JPG,baltimore,2022,iPhone 11,/Users/lylaatta/Documents/GitHub/LylaAtta.github.io/assets/img/photos/all/56.JPG
57.JPG,boston,2021,iPhone 11,/Users/lylaatta/Documents/GitHub/LylaAtta.github.io/assets/img/photos/all/57.JPG
58.jpg,baltimore,2020,iPhone 11,/Users/lylaatta/Documents/GitHub/LylaAtta.github.io/assets/img/photos/all/58.jpg
59.JPG,boston,2021,iPhone 11,/Users/lylaatta/Documents/GitHub/LylaAtta.github.io/assets/img/photos/all/59.JPG
60.jpeg,philadelphia,2020,iPhone 11,/Users/lylaatta/Documents/GitHub/LylaAtta.github.io/assets/img/photos/all/60.jpeg
61.JPG,new york city,2021,iPhone 11,/Users/lylaatta/Documents/GitHub/LylaAtta.github.io/assets/img/photos/all/61.JPG
62.JPG,miami,2022,iPhone 11,/Users/lylaatta/Documents/GitHub/LylaAtta.github.io/assets/img/photos/all/62.JPG
63.JPG,miami,2022,iPhone 11,/Users/lylaatta/Documents/GitHub/LylaAtta.github.io/assets/img/photos/all/63.JPG
64.JPG,miami,2022,iPhone 11,/Users/lylaatta/Documents/GitHub/LylaAtta.github.io/assets/img/photos/all/64.JPG
65.jpeg,berlin,2022,iPhone 11,/Users/lylaatta/Documents/GitHub/LylaAtta.github.io/assets/img/photos/all/65.jpeg
66.jpeg,berlin,2022,iPhone 11,/Users/lylaatta/Documents/GitHub/LylaAtta.github.io/assets/img/photos/all/66.jpeg
67.jpeg,berlin,2022,iPhone 11,/Users/lylaatta/Documents/GitHub/LylaAtta.github.io/assets/img/photos/all/67.jpeg
68.jpeg,berlin,2022,iPhone 11,/Users/lylaatta/Documents/GitHub/LylaAtta.github.io/assets/img/photos/all/68.jpeg
69.jpeg,berlin,2022,iPhone 11,/Users/lylaatta/Documents/GitHub/LylaAtta.github.io/assets/img/photos/all/69.jpeg
70.jpg,berlin,2022,iPhone 11,/Users/lylaatta/Documents/GitHub/LylaAtta.github.io/assets/img/photos/all/70.jpg
71.jpg,munich,2022,iPhone 11,/Users/lylaatta/Documents/GitHub/LylaAtta.github.io/assets/img/photos/all/71.jpg
72.jpg,munich,2022,iPhone 11,/Users/lylaatta/Documents/GitHub/LylaAtta.github.io/assets/img/photos/all/72.jpg
73.jpg,berlin,2022,iPhone 11,/Users/lylaatta/Documents/GitHub/LylaAtta.github.io/assets/img/photos/all/73.jpg
